selectionLabel,odds_decimal,status_selection,marketLabel,deadline,player
Over 0.5,14.0,Open,Spillers samlede antal assister | Ryan Gravenberch,2026-01-08T20:00:00Z,Ryan Gravenberch
Over 0.5,12.0,Open,Spillers samlede antal assister | Jeremie Frimpong,2026-01-08T20:00:00Z,Jeremie Frimpong
Over 0.5,10.0,Open,Spillers samlede antal assister | Rio Ngumoha,2026-01-08T20:00:00Z,Rio Ngumoha
Over 0.5,10.0,Open,Spillers samlede antal assister | Dominik Szoboszlai,2026-01-08T20:00:00Z,Dominik Szoboszlai
Over 0.5,12.0,Open,Spillers samlede antal assister | Curtis Jones,2026-01-08T20:00:00Z,Curtis Jones
Over 0.5,9.0,Open,Spillers samlede antal assister | Jayden Danns,2026-01-08T20:00:00Z,Jayden Danns
Over 0.5,19.0,Open,Spillers samlede antal assister | Joe Gomez,2026-01-08T20:00:00Z,Joe Gomez
Over 0.5,14.0,Open,Spillers samlede antal assister | Conor Bradley,2026-01-08T20:00:00Z,Conor Bradley
Over 0.5,9.0,Open,Spillers samlede antal assister | Cody Gakpo,2026-01-08T20:00:00Z,Cody Gakpo
Over 0.5,5.5,Open,Spillers samlede antal assister | Martin Ødegaard,2026-01-08T20:00:00Z,Martin Ødegaard
Over 0.5,4.5,Open,Spillers samlede antal assister | Noni Madueke,2026-01-08T20:00:00Z,Noni Madueke
Over 0.5,4.0,Open,Spillers samlede antal assister | Eberechi Eze,2026-01-08T20:00:00Z,Eberechi Eze
Over 0.5,7.5,Open,Spillers samlede antal assister | Josh Nichols,2026-01-08T20:00:00Z,Josh Nichols
Over 0.5,14.0,Open,Spillers samlede antal assister | Carter Pinnington,2026-01-08T20:00:00Z,Carter Pinnington
Over 0.5,19.0,Open,Spillers samlede antal assister | Rhys Williams,2026-01-08T20:00:00Z,Rhys Williams
Over 0.5,8.5,Open,Spillers samlede antal assister | Federico Chiesa,2026-01-08T20:00:00Z,Federico Chiesa
Over 0.5,5.5,Open,Spillers samlede antal assister | Declan Rice,2026-01-08T20:00:00Z,Declan Rice
Over 0.5,5.5,Open,Spillers samlede antal assister | Kai Havertz,2026-01-08T20:00:00Z,Kai Havertz
Over 0.5,16.0,Open,Spillers samlede antal assister | Treymaurice Nyoni,2026-01-08T20:00:00Z,Treymaurice Nyoni
Over 0.5,19.0,Open,Spillers samlede antal assister | Wellity Lucky,2026-01-08T20:00:00Z,Wellity Lucky
Over 0.5,5.5,Open,Spillers samlede antal assister | Ethan Nwaneri,2026-01-08T20:00:00Z,Ethan Nwaneri
Over 0.5,4.5,Open,Spillers samlede antal assister | Viktor Gyökeres,2026-01-08T20:00:00Z,Viktor Gyökeres
Over 0.5,7.5,Open,Spillers samlede antal assister | Hugo Ekitike,2026-01-08T20:00:00Z,Hugo Ekitike
Over 0.5,12.0,Open,Spillers samlede antal assister | Piero Hincapie,2026-01-08T20:00:00Z,Piero Hincapie
Over 0.5,10.0,Open,Spillers samlede antal assister | Tommy Pilling,2026-01-08T20:00:00Z,Tommy Pilling
Over 0.5,12.0,Open,Spillers samlede antal assister | Calvin Ramsay,2026-01-08T20:00:00Z,Calvin Ramsay
Over 0.5,19.0,Open,Spillers samlede antal assister | Milos Kerkez,2026-01-08T20:00:00Z,Milos Kerkez
Over 0.5,6.0,Open,Spillers samlede antal assister | Louie Copley,2026-01-08T20:00:00Z,Louie Copley
Over 0.5,6.0,Open,Spillers samlede antal assister | Max Dowman,2026-01-08T20:00:00Z,Max Dowman
Over 0.5,10.0,Open,Spillers samlede antal assister | Christian Nørgaard,2026-01-08T20:00:00Z,Christian Nørgaard
Over 0.5,12.0,Open,Spillers samlede antal assister | Alexis Mac Allister,2026-01-08T20:00:00Z,Alexis Mac Allister
Over 0.5,12.0,Open,Spillers samlede antal assister | Gabriel Magalhaes,2026-01-08T20:00:00Z,Gabriel Magalhaes
Over 0.5,11.0,Open,Spillers samlede antal assister | Kaide Gordon,2026-01-08T20:00:00Z,Kaide Gordon
Over 0.5,9.0,Open,Spillers samlede antal assister | Riccardo Calafiori,2026-01-08T20:00:00Z,Riccardo Calafiori
Over 0.5,14.0,Open,Spillers samlede antal assister | Andrew Robertson,2026-01-08T20:00:00Z,Andrew Robertson
Over 0.5,19.0,Open,Spillers samlede antal assister | Wataru Endo,2026-01-08T20:00:00Z,Wataru Endo
Over 0.5,11.0,Open,Spillers samlede antal assister | Jurrien Timber,2026-01-08T20:00:00Z,Jurrien Timber
Over 0.5,9.0,Open,Spillers samlede antal assister | Martin Zubimendi,2026-01-08T20:00:00Z,Martin Zubimendi
Over 0.5,5.0,Open,Spillers samlede antal assister | Gabriel Martinelli,2026-01-08T20:00:00Z,Gabriel Martinelli
Over 0.5,7.5,Open,Spillers samlede antal assister | Keyrol Figueroa,2026-01-08T20:00:00Z,Keyrol Figueroa
Over 0.5,9.0,Open,Spillers samlede antal assister | Myles Lewis-skelly,2026-01-08T20:00:00Z,Myles Lewis-skelly
Over 0.5,4.0,Open,Spillers samlede antal assister | Gabriel Jesus,2026-01-08T20:00:00Z,Gabriel Jesus
Over 0.5,7.5,Open,Spillers samlede antal assister | Michael Laffey,2026-01-08T20:00:00Z,Michael Laffey
Over 0.5,4.25,Open,Spillers samlede antal assister | Leandro Trossard,2026-01-08T20:00:00Z,Leandro Trossard
Over 0.5,4.0,Open,Spillers samlede antal assister | Charles Sagoe Jr,2026-01-08T20:00:00Z,Charles Sagoe Jr
Over 0.5,16.0,Open,Spillers samlede antal assister | Cristhian Mosquera,2026-01-08T20:00:00Z,Cristhian Mosquera
Over 0.5,11.0,Open,Spillers samlede antal assister | Ben White,2026-01-08T20:00:00Z,Ben White
Over 0.5,16.0,Open,Spillers samlede antal assister | Stefan Bajcetic,2026-01-08T20:00:00Z,Stefan Bajcetic
Over 0.5,19.0,Open,Spillers samlede antal assister | Virgil van Dijk,2026-01-08T20:00:00Z,Virgil van Dijk
Over 0.5,14.0,Open,Spillers samlede antal assister | Amara Nallo,2026-01-08T20:00:00Z,Amara Nallo
Over 0.5,9.0,Open,Spillers samlede antal assister | Florian Wirtz,2026-01-08T20:00:00Z,Florian Wirtz
Over 0.5,14.0,Open,Spillers samlede antal assister | William Saliba,2026-01-08T20:00:00Z,William Saliba
Over 0.5,19.0,Open,Spillers samlede antal assister | Ibrahima Konate,2026-01-08T20:00:00Z,Ibrahima Konate
Over 0.5,12.0,Open,Spillers samlede antal assister | Trent Kone-Doherty,2026-01-08T20:00:00Z,Trent Kone-Doherty
Over 0.5,4.75,Open,Spillers samlede antal assister | Mikel Merino,2026-01-08T20:00:00Z,Mikel Merino
Over 0.5,12.0,Open,Spillers samlede antal assister | Marli Salmon,2026-01-08T20:00:00Z,Marli Salmon
Over 0.5,16.0,Open,Spillers samlede antal assister | Giovanni Leoni,2026-01-08T20:00:00Z,Giovanni Leoni
Over 0.5,5.5,Open,Spillers samlede antal assister | Andre HarrimanAnnous,2026-01-08T20:00:00Z,Andre HarrimanAnnous
Over 0.5,3.4,Open,Spillers samlede antal assister | Bukayo Saka,2026-01-08T20:00:00Z,Bukayo Saka
Over 0.5,10.0,Open,Spillers samlede antal assister | Kieran Morrison,2026-01-08T20:00:00Z,Kieran Morrison
